date,price,daily_return
2018-01-03,23.52901,0.02042
2018-01-04,23.86527,0.01429
2018-01-05,24.13428,0.01127
2018-01-08,24.30722,0.00717
2018-01-09,24.38408,0.00316
2018-01-10,24.5378,0.0063
2018-01-11,24.75877,0.00901
2018-01-12,25.15269,0.01591
2018-01-16,25.56581,0.01642
2018-01-17,25.9309,0.01428
2018-01-18,25.86365,-0.00259
2018-01-19,26.19031,0.01263
2018-01-22,26.22874,0.00147
2018-01-23,26.3056,0.00293
2018-01-24,26.07501,-0.00877
2018-01-25,25.9309,-0.00553
2018-01-26,26.20952,0.01074
2018-01-29,26.03659,-0.0066
2018-01-30,25.47935,-0.0214
2018-01-31,25.4313,-0.00189
2018-02-01,25.62346,0.00756
2018-02-02,24.93171,-0.027
2018-02-05,23.45215,-0.05934
2018-02-06,24.00938,0.02376
2018-02-07,23.89409,-0.0048
2018-02-08,22.87569,-0.04262
2018-02-09,22.97177,0.0042
2018-02-12,23.40411,0.01882
2018-02-13,23.12549,-0.0119
2018-02-14,23.45215,0.01413
2018-02-15,23.81723,0.01557
2018-02-16,23.81723,0.0
2018-02-20,23.69234,-0.00524
2018-02-21,23.71155,0.00081
2018-02-22,23.74998,0.00162
2018-02-23,24.01899,0.01133
2018-02-26,24.23997,0.0092
2018-02-27,24.04781,-0.00793
2018-02-28,23.67312,-0.01558
2018-03-01,23.0198,-0.0276
2018-03-02,23.2696,0.01085
2018-03-05,23.28882,0.00083
2018-03-06,23.73077,0.01898
2018-03-07,23.42332,-0.01296
2018-03-08,23.58665,0.00697
2018-03-09,23.91331,0.01385
2018-03-12,24.07664,0.00683
2018-03-13,23.96135,-0.00479
2018-03-14,24.11507,0.00642
2018-03-15,24.22075,0.00438
2018-03-16,24.00938,-0.00873
2018-03-19,23.53861,-0.01961
2018-03-20,23.49057,-0.00204
2018-03-21,23.47136,-0.00082
2018-03-22,23.19274,-0.01187
2018-03-23,22.44334,-0.03231
2018-03-26,23.08706,0.02868
2018-03-27,22.74118,-0.01498
2018-03-28,22.75079,0.00042
2018-03-29,23.24078,0.02154
2018-04-02,22.68353,-0.02398
2018-04-03,22.80844,0.00551
2018-04-04,22.46256,-0.01516
2018-04-05,22.57785,0.00513
2018-04-06,22.04943,-0.0234
2018-04-09,22.0014,-0.00218
2018-04-10,22.62589,0.02838
2018-04-11,22.77961,0.00679
2018-04-12,22.85647,0.00337
2018-04-13,22.83726,-0.00084
2018-04-16,22.88529,0.0021
2018-04-17,23.16392,0.01217
2018-04-18,23.50979,0.01493
2018-04-19,23.34646,-0.00695
2018-04-20,23.11588,-0.00988
2018-04-23,22.92373,-0.00831
2018-04-24,22.74118,-0.00796
2018-04-25,22.40492,-0.01479
2018-04-26,22.53942,0.006
2018-04-27,22.28963,-0.01108
2018-04-30,22.19355,-0.00431
2018-05-01,22.1359,-0.0026
2018-05-02,22.06865,-0.00304
2018-05-03,22.11669,0.00218
2018-05-04,22.31845,0.00912
2018-05-07,22.47217,0.00689
2018-05-08,22.6355,0.00727
2018-05-09,22.65472,0.00085
2018-05-10,22.86608,0.00933
2018-05-11,22.97177,0.00462
2018-05-14,23.02941,0.00251
2018-05-15,22.56824,-0.02003
2018-05-16,22.56824,0.0
2018-05-17,22.56824,0.0
2018-05-18,22.66432,0.00426
2018-05-21,22.86608,0.0089
2018-05-22,22.87569,0.00042
2018-05-23,22.78922,-0.00378
2018-05-24,22.57785,-0.00927
2018-05-25,22.52982,-0.00213
2018-05-29,22.31845,-0.00938
2018-05-30,22.43374,0.00517
2018-05-31,22.32806,-0.00471
2018-06-01,22.53942,0.00947
2018-06-04,22.69314,0.00682
2018-06-05,22.70275,0.00042
2018-06-06,22.62589,-0.00339
2018-06-07,22.53942,-0.00382
2018-06-08,22.57785,0.00171
2018-06-11,22.75079,0.00766
2018-06-12,22.67393,-0.00338
2018-06-13,22.54903,-0.00551
2018-06-14,22.47217,-0.00341
2018-06-15,22.20315,-0.01197
2018-06-18,21.92453,-0.01255
2018-06-19,21.61709,-0.01402
2018-06-20,21.83807,0.01022
2018-06-21,21.78042,-0.00264
2018-06-22,21.79964,0.00088
2018-06-25,21.28083,-0.0238
2018-06-26,21.40573,0.00587
2018-06-27,21.09828,-0.01436
2018-06-28,21.19436,0.00455
2018-06-29,21.14632,-0.00227
2018-07-02,21.05985,-0.00409
2018-07-03,21.05025,-0.00046
2018-07-05,20.81966,-0.01095
2018-07-06,21.03103,0.01015
