date,price,daily_return,paper_count
2018-05-10,22.86608,0.00933,12
2018-05-11,22.97177,0.00462,9
2018-05-14,23.02941,0.00251,12
2018-05-15,22.56824,-0.02003,10
2018-05-16,22.56824,0.0,16
2018-05-17,22.56824,0.0,18
2018-05-18,22.66432,0.00426,12
2018-05-21,22.86608,0.0089,17
2018-05-22,22.87569,0.00042,15
2018-05-23,22.78922,-0.00378,16
2018-05-24,22.57785,-0.00927,16
2018-05-25,22.52982,-0.00213,14
2018-05-29,22.31845,-0.00938,15
2018-05-30,22.43374,0.00517,19
2018-05-31,22.32806,-0.00471,15
2018-06-01,22.53942,0.00947,13
2018-06-04,22.69314,0.00682,21
2018-06-05,22.70275,0.00042,14
2018-06-06,22.62589,-0.00339,20
2018-06-07,22.53942,-0.00382,15
2018-06-08,22.57785,0.00171,15
2018-06-11,22.75079,0.00766,19
2018-06-12,22.67393,-0.00338,10
2018-06-13,22.54903,-0.00551,19
2018-06-14,22.47217,-0.00341,15
2018-06-15,22.20316,-0.01197,7
2018-06-18,21.92454,-0.01255,12
2018-06-19,21.61709,-0.01402,26
2018-06-20,21.83807,0.01022,18
2018-06-21,21.78042,-0.00264,14
2018-06-22,21.79964,0.00088,17
2018-06-25,21.28083,-0.0238,14
2018-06-26,21.40573,0.00587,15
2018-06-27,21.09828,-0.01436,4
2018-06-28,21.19436,0.00455,15
2018-06-29,21.14632,-0.00227,10
2018-07-02,21.05985,-0.00409,18
2018-07-03,21.05025,-0.00046,12
2018-07-05,20.81966,-0.01095,13
2018-07-06,21.03103,0.01015,16
2018-07-09,21.2424,0.01005,12
2018-07-10,21.52102,0.01312,8
2018-07-11,21.09828,-0.01964,14
2018-07-12,21.30965,0.01002,10
2018-07-13,21.28083,-0.00135,7
2018-07-16,21.252,-0.00135,11
2018-07-17,21.05025,-0.00949,13
2018-07-18,21.10789,0.00274,15
2018-07-19,21.21358,0.00501,7
2018-07-20,21.09828,-0.00543,9
2018-07-23,20.97338,-0.00592,17
2018-07-24,21.17515,0.00962,7
2018-07-25,21.53062,0.01679,19
2018-07-26,21.7516,0.01026,17
2018-07-27,21.77082,0.00088,10
2018-07-30,21.42494,-0.01589,13
2018-07-31,21.43455,0.00045,15
2018-08-01,21.42494,-0.00045,11
2018-08-02,21.34808,-0.00359,11
2018-08-03,21.34808,0.0,5
2018-08-06,21.27122,-0.0036,9
2018-08-07,21.26161,-0.00045,12
2018-08-08,21.47298,0.00994,14
2018-08-09,21.59788,0.00582,8
2018-08-10,21.34808,-0.01157,5
2018-08-13,21.05985,-0.0135,10
